fidelity,q0_T1,q0_T2,q0_prob_meas0_prep1,q0_prob_meas1_prep0,q0_readout_length,q0_id_error,q0_sx_error,q0_x_error,q1_T1,q1_T2,q1_prob_meas0_prep1,q1_prob_meas1_prep0,q1_readout_length,q1_id_error,q1_sx_error,q1_x_error,q2_T1,q2_T2,q2_prob_meas0_prep1,q2_prob_meas1_prep0,q2_readout_length,q2_id_error,q2_sx_error,q2_x_error,ecr_01_error,ecr_12_error
0.8118,83.52,58.73,0.02393,0.04004,1300.0,0.0002325,0.0002325,0.0002325,56.79,272.43,0.03076,0.01611,1300.0,0.000275,0.000275,0.00025,263.01,213.05,0.02051,0.00684,1300.0,0.00156,0.00156,0.00156,0.00608,0.01375
0.6501,387.13,325.59,0.00635,0.01123,1216.0,0.0002515,0.0002515,0.0002515,306.36,398.27,0.06299,0.09961,1216.0,0.0002302,0.0002302,0.0002302,260.32,200.5,0.07031,0.22461,1216.0,0.0001787,0.0001787,0.0001787,0.00784,0.0054
0.7983,315.33,57.51,0.01465,0.0542,1300.0,0.0001756,0.0001756,0.0001756,407.42,312.7,0.02832,0.03418,1300.0,0.0001454,0.0001454,0.0001454,264.53,264.74,0.01025,0.00879,1300.0,0.0004092,0.0004092,0.0004092,0.00339,0.0043
0.6528,385.3,246.04,0.00391,0.00439,1216.0,0.0001015,0.0001015,0.0001015,306.36,398.27,0.07178,0.08594,1216.0,0.0001901,0.0001901,0.0001901,260.32,186.08,0.07275,0.20508,1216.0,0.0001787,0.0001787,0.0001787,0.00516,0.00475
